date,prectot,qv2m,rh2m,ps,t2m_range,ts,t2mdew,t2mwet,t2m_max,t2m_min,t2m,ws50m_range,ws10m_range,ws50m_min,ws10m_min,ws50m_max,ws10m_max,ws50m,ws10m
2016-08-01,2.32,12.39,67.33,99.82,7.44,24.08,17.16,17.16,27.57,20.13,23.69,5.3,4.33,0.71,0.43,6.01,4.76,4.35,3.22
2016-01-12,3.19,2.25,82.46,98.39,6.36,-2.56,-7.14,-7.08,-1.27,-7.63,-4.72,10.18,8.63,5.44,4.44,15.62,13.07,11.72,9.63
2017-12-11,0.93,2.17,75.63,99.36,4.78,-0.57,-7.64,-7.51,-1.53,-6.3,-3.94,6.1,5.16,1.91,1.67,8.01,6.84,4.61,3.74
2015-07-30,0.63,11.74,58.07,99.02,7.89,24.97,16.05,16.06,29.09,21.2,25.14,5.34,4.12,5.56,3.74,10.9,7.86,8.16,5.65
2017-12-17,2.58,1.78,80.16,100.42,7.57,-3.92,-10.05,-9.9,-2.85,-10.42,-7.16,3.14,1.67,3.68,3.42,6.82,5.08,5.03,4.11
2015-04-14,0.82,3.99,63.11,100.28,10.05,5.15,0.63,0.66,12.68,2.63,7.22,5.24,3.62,4.02,2.57,9.26,6.19,6.82,4.55
2015-04-08,8.59,3.65,87.6,100.11,3.04,0.99,-0.73,-0.71,2.74,-0.3,1.23,5.38,4.72,7.53,5.86,12.91,10.58,10.19,8.1
2017-09-17,1.34,12.12,76.33,100.0,8.06,20.96,16.98,16.98,25.8,17.74,21.3,3.18,1.67,1.56,1.21,4.73,2.88,3.05,2.13
2017-11-29,0.19,3.84,77.73,100.24,7.65,3.5,-0.39,-0.35,7.84,0.19,3.64,8.65,7.03,4.0,3.06,12.64,10.1,8.02,5.98
2016-04-27,0.55,3.36,65.61,99.59,9.68,4.69,-1.83,-1.78,9.38,-0.3,4.06,5.39,3.49,2.06,1.69,7.45,5.18,5.57,3.95
2015-05-19,0.07,6.43,78.42,99.5,10.11,10.34,6.72,6.73,14.41,4.3,10.91,4.5,3.91,6.26,4.26,10.76,8.17,8.89,6.41
2016-10-28,1.02,4.16,71.28,100.26,8.11,8.26,1.04,1.06,9.99,1.88,6.05,5.89,4.17,3.12,2.71,9.0,6.88,6.63,4.98
2015-03-14,2.52,4.19,92.76,99.12,3.26,1.07,1.09,1.1,3.26,0.0,2.21,4.86,4.43,6.62,4.21,11.48,8.64,9.02,5.9
2017-04-05,1.57,4.57,82.99,99.26,7.37,5.49,2.43,2.43,9.03,1.66,5.06,8.81,7.06,2.79,2.24,11.6,9.3,7.11,5.54
2016-05-07,0.33,6.74,76.79,98.59,9.34,10.53,7.8,7.8,16.89,7.55,11.81,8.6,6.54,1.17,0.84,9.77,7.38,3.84,2.86
2015-09-19,4.71,11.09,76.93,98.89,9.58,19.22,15.15,15.15,24.14,14.57,19.56,9.79,8.17,5.27,3.12,15.06,11.29,10.04,7.29
2015-09-18,0.61,11.19,71.23,99.35,8.54,20.62,15.57,15.57,25.63,17.1,21.02,5.71,4.68,3.49,1.94,9.21,6.62,6.35,4.19
2016-08-14,1.73,13.53,71.57,99.45,6.73,24.48,18.46,18.46,27.86,21.13,24.07,2.17,2.68,4.45,2.95,6.62,5.63,5.87,4.3
2016-01-31,2.12,4.82,96.98,98.4,6.22,1.96,2.89,2.89,6.72,0.5,3.47,11.46,8.2,4.67,3.32,16.12,11.51,8.95,5.76
2016-11-18,0.22,7.12,89.7,99.53,9.4,9.63,8.77,8.77,15.9,6.49,10.42,4.65,1.51,4.04,3.16,8.69,4.66,6.06,3.99
2017-03-21,0.59,3.61,75.53,99.51,11.65,3.08,-1.04,-1.0,8.87,-2.78,3.08,10.71,9.35,4.68,2.96,15.39,12.31,8.97,6.78
2016-05-02,2.23,5.27,84.54,99.61,7.14,6.98,4.47,4.47,11.32,4.18,6.88,7.04,5.77,0.66,0.53,7.69,6.3,3.8,2.88
2016-12-10,0.99,2.2,73.12,100.75,2.66,-0.31,-7.01,-6.92,-1.31,-3.97,-3.11,7.13,5.55,2.19,1.9,9.32,7.46,5.45,4.44
2015-09-08,3.99,15.45,78.4,99.32,4.96,24.19,20.71,20.71,27.56,22.6,24.72,7.12,4.34,2.07,1.4,9.19,5.75,5.22,3.33
2015-03-26,2.31,3.79,90.12,99.08,3.48,0.63,-0.19,-0.18,2.84,-0.64,1.23,8.46,4.94,1.37,1.23,9.83,6.17,5.25,3.28
2015-07-02,0.07,7.53,62.64,99.52,9.44,17.27,9.49,9.49,21.42,11.97,16.79,4.09,2.25,2.61,2.11,6.7,4.36,4.55,3.2
2016-04-08,0.69,2.54,71.31,98.48,5.47,0.12,-5.49,-5.42,2.34,-3.12,-1.11,5.36,5.06,6.03,4.38,11.4,9.44,9.01,7.31
2015-06-11,0.55,8.16,71.05,99.34,9.14,15.3,10.83,10.83,20.84,11.7,16.05,2.82,2.82,4.17,2.38,6.99,5.2,5.54,3.76
2016-06-07,0.58,8.15,75.71,98.29,8.0,15.31,10.49,10.49,17.89,9.88,14.87,5.83,5.63,5.12,2.91,10.95,8.54,8.37,6.3
2017-08-10,0.14,11.07,67.19,100.08,8.11,21.65,15.46,15.46,26.04,17.93,21.93,3.47,1.17,2.94,2.54,6.41,3.7,4.62,3.17
2016-05-28,3.5,11.87,71.49,99.79,10.22,20.1,16.58,16.58,27.31,17.09,21.99,4.41,3.38,0.32,0.26,4.74,3.65,3.38,2.32
2016-12-04,1.12,3.19,76.33,100.2,3.75,2.28,-2.44,-2.41,3.49,-0.26,1.28,7.77,6.18,1.29,1.38,9.06,7.56,4.77,3.8
2017-10-30,1.61,5.02,75.69,97.84,3.44,9.22,3.47,3.48,9.42,5.99,7.53,4.12,3.55,11.88,9.23,16.0,12.77,14.11,11.37
2017-11-05,13.18,8.2,94.89,99.0,7.14,10.73,10.66,10.66,14.61,7.47,11.62,4.68,4.01,5.92,3.84,10.6,7.85,8.35,5.59
2017-09-02,0.55,6.86,59.8,99.94,8.2,16.94,8.09,8.1,19.76,11.55,16.14,7.13,6.34,1.64,1.23,8.77,7.57,6.94,5.5
2015-11-17,0.59,4.52,78.11,100.79,5.46,5.85,2.32,2.34,8.94,3.48,5.98,1.61,2.13,8.8,6.11,10.41,8.24,9.36,7.04
