date,prectot,qv2m,rh2m,ps,t2m_range,ts,t2mdew,t2mwet,t2m_max,t2m_min,t2m,ws50m_range,ws10m_range,ws50m_min,ws10m_min,ws50m_max,ws10m_max,ws50m,ws10m
2017-10-09,15.32,16.41,82.65,100.26,8.68,24.83,21.85,21.85,30.6,21.92,25.0,5.88,5.15,4.35,1.89,10.23,7.04,7.07,4.25
2017-03-12,0.0,1.97,56.99,101.86,10.0,-0.13,-8.19,-7.96,5.09,-4.91,-1.1,4.2,3.08,2.2,1.35,6.4,4.43,4.49,2.8
2015-09-07,0.0,12.2,59.35,100.9,15.02,26.53,17.11,17.11,33.69,18.67,25.73,4.44,1.35,1.41,1.16,5.84,2.51,3.08,1.76
2017-08-07,20.74,15.14,90.05,100.44,5.89,22.45,20.48,20.48,25.48,19.58,22.28,4.18,2.49,1.22,0.96,5.4,3.46,3.7,2.35
2015-04-01,0.0,3.95,66.95,101.01,14.1,6.32,0.56,0.59,13.23,-0.87,6.31,4.43,1.85,2.69,1.48,7.12,3.33,4.65,2.73
2017-09-11,0.01,8.32,71.3,101.42,12.24,16.76,11.32,11.33,22.75,10.5,16.62,3.56,1.15,2.46,1.53,6.03,2.68,3.69,2.13
2017-09-23,0.0,9.86,55.7,100.78,14.67,22.74,13.79,13.79,30.82,16.14,23.23,4.12,1.27,2.1,1.45,6.22,2.72,3.75,2.24
2017-05-21,0.4,8.68,74.95,101.4,8.59,16.98,12.02,12.02,21.05,12.47,16.5,1.8,1.94,3.88,2.08,5.67,4.02,4.69,3.02
2015-02-27,0.25,2.24,76.1,101.96,8.61,-3.18,-6.77,-6.68,-0.12,-8.73,-3.25,5.7,3.91,0.96,0.58,6.66,4.48,4.91,3.23
2015-02-10,1.22,3.05,82.43,100.62,6.33,-0.2,-2.89,-2.87,3.41,-2.93,-0.31,2.94,2.46,6.0,4.31,8.93,6.77,7.92,5.48
2015-11-01,1.54,8.76,90.52,100.57,10.61,13.53,11.88,11.88,20.18,9.57,13.58,2.7,3.01,3.78,1.74,6.48,4.75,5.16,3.02
2016-05-06,23.75,7.49,90.55,99.59,3.66,11.24,9.58,9.58,12.4,8.74,11.05,3.01,2.79,2.44,1.14,5.45,3.93,4.02,2.47
2015-10-22,0.02,7.51,69.87,101.24,17.37,15.08,9.78,9.78,24.61,7.24,15.31,5.19,1.49,1.67,1.43,6.86,2.91,4.35,2.27
2017-10-27,0.0,4.95,58.32,100.74,15.08,11.14,3.44,3.46,20.36,5.28,11.64,6.41,3.41,0.94,0.67,7.35,4.08,4.54,2.7
2017-08-14,0.66,13.38,74.39,100.53,8.27,23.23,18.53,18.53,27.75,19.48,23.42,3.15,1.31,1.37,1.0,4.53,2.3,2.8,1.71
2015-05-12,0.16,12.8,73.14,100.41,11.55,22.68,17.74,17.74,28.5,16.95,22.95,4.09,2.92,4.89,2.27,8.98,5.2,6.75,3.87
2016-01-05,0.0,1.46,56.69,102.61,7.9,-4.49,-11.61,-11.23,-0.59,-8.49,-4.95,8.55,6.1,1.2,0.86,9.75,6.97,4.68,3.47
2017-01-31,0.02,3.48,74.7,100.1,15.51,2.49,-1.63,-1.59,11.44,-4.07,2.82,5.89,3.76,3.16,1.86,9.05,5.62,7.16,4.16
2015-11-05,2.14,11.2,92.85,101.31,10.73,16.85,15.82,15.82,23.62,12.88,17.1,3.91,1.64,2.18,1.37,6.09,3.01,4.01,2.22
2017-05-26,0.19,10.09,75.99,99.81,11.36,18.3,14.09,14.09,23.78,12.42,18.4,5.62,4.28,3.62,2.11,9.24,6.39,6.75,4.14
2017-12-24,0.19,3.77,78.67,100.88,4.25,3.27,-0.05,-0.02,5.42,1.17,3.32,5.28,2.91,1.61,0.75,6.89,3.66,4.37,2.59
2017-07-25,0.07,11.69,62.49,100.85,10.08,25.13,16.47,16.47,29.22,19.14,24.14,3.78,2.4,3.01,1.67,6.79,4.07,4.37,2.79
2016-05-14,4.2,8.47,77.12,99.91,12.69,15.4,11.25,11.25,22.07,9.38,15.43,7.64,4.26,1.21,1.06,8.85,5.32,5.68,3.46
