date,prectot,qv2m,rh2m,ps,t2m_range,ts,t2mdew,t2mwet,t2m_max,t2m_min,t2m,ws50m_range,ws10m_range,ws50m_min,ws10m_min,ws50m_max,ws10m_max,ws50m,ws10m,yearid
2015-08-30,0.19,10.96,76.95,100.1,10.37,19.91,15.41,15.41,25.2,14.83,19.56,2.43,1.73,4.15,2.23,6.58,3.96,5.24,3.13,2015
2016-11-30,7.0,3.95,98.35,99.58,2.35,0.41,0.44,0.44,1.81,-0.53,0.67,7.82,5.33,2.49,1.62,10.3,6.96,5.56,3.7,2016
2015-09-09,2.34,14.49,81.12,99.27,11.75,23.19,19.6,19.6,28.85,17.1,23.08,6.59,5.51,3.94,2.04,10.53,7.56,6.72,4.19,2015
2017-08-16,0.09,8.42,72.2,100.12,8.83,16.89,11.32,11.32,21.0,12.18,16.4,3.82,1.96,3.38,2.41,7.2,4.36,5.43,3.23,2017
2015-11-19,7.67,6.52,95.28,100.04,9.48,7.67,7.36,7.37,12.01,2.53,8.31,4.74,4.02,6.07,2.9,10.81,6.92,8.85,5.56,2015
2015-11-08,0.3,3.17,75.12,100.86,8.26,1.65,-2.39,-2.35,6.17,-2.09,1.54,2.53,2.88,5.13,2.93,7.66,5.81,6.56,3.95,2015
2016-08-04,1.26,13.35,69.04,100.11,12.27,24.94,18.49,18.49,30.43,18.16,24.56,4.13,1.67,3.46,2.3,7.59,3.97,5.61,3.25,2016
2017-05-24,0.99,8.78,76.29,99.44,11.79,16.08,11.88,11.88,21.47,9.68,16.1,5.79,1.88,1.93,1.62,7.72,3.5,3.91,2.4,2017
2015-09-30,4.41,5.62,76.64,100.51,6.68,9.69,5.28,5.29,12.19,5.5,9.42,4.02,4.22,6.43,3.43,10.46,7.65,8.61,5.84,2015
2015-11-04,0.27,5.34,88.15,101.06,8.56,5.88,4.83,4.83,12.3,3.74,6.68,5.07,1.99,1.39,0.97,6.46,2.96,3.53,2.18,2015
2017-07-06,1.22,13.63,85.56,99.87,10.23,21.35,18.65,18.65,25.38,15.14,21.32,3.24,2.06,3.75,2.41,6.99,4.47,5.65,3.44,2017
2016-07-01,2.27,10.91,76.48,99.64,12.65,19.88,15.15,15.15,25.73,13.08,19.51,5.33,2.98,1.26,1.03,6.59,4.02,4.47,2.61,2016
2015-05-30,9.18,13.51,86.33,99.78,14.13,20.91,18.36,18.36,26.58,12.45,21.0,7.34,6.2,4.93,2.35,12.27,8.55,8.4,5.46,2015
2015-10-06,0.12,6.01,74.61,100.15,10.75,10.36,6.43,6.43,16.67,5.92,10.76,2.03,1.58,2.02,1.09,4.05,2.67,3.14,1.97,2015
2017-08-24,0.26,8.22,76.29,99.84,9.47,15.74,10.98,10.98,19.96,10.49,15.14,1.6,2.5,4.71,2.4,6.31,4.9,5.62,3.49,2017
2016-06-06,2.57,10.61,80.89,98.31,6.26,18.26,14.62,14.62,20.88,14.62,17.95,5.11,4.95,6.02,3.01,11.13,7.96,9.34,6.24,2016
2016-09-17,6.54,10.52,81.24,99.99,11.29,17.88,14.48,14.49,23.06,11.77,18.02,4.92,3.87,4.6,2.26,9.52,6.14,6.4,3.88,2016
2016-11-03,7.4,5.83,97.61,100.03,4.32,6.09,5.96,5.96,8.83,4.51,6.33,4.56,2.24,2.25,1.45,6.81,3.69,3.82,2.12,2016
